id,audio_name,artist,number_of_uses,platform,category,link
16,Gentle Stream,Nature Studio,"1,700,000+",Instagram Reels,Calming/Meditative,https://www.instagram.com/reels/audio/gentle-stream-6878901234567890123
17,Fireplace Crackle,Cozy Sounds,"2,000,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/Fireplace-Crackle-6889012345678901234
18,Forest Morning,Ambient Nature Mix,"2,300,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/Forest-Morning-6890123456789012345
19,Healing Rain,Spa Music Collective,"1,300,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/Healing-Rain-6901234567890123456
20,Notice (Original),@meditationmornings,"760,000+",TikTok,Calming/Meditative,https://www.tiktok.com/music/Notice-Original-6912345678901234567
21,Golden Hour,JVKE,"12,500,000+",TikTok,Calming/Uplifting,https://www.tiktok.com/music/golden-hour-6978492182063931393
22,Good Days,SZA,"9,700,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/good-days-sza-6934567890123456789
23,Best Part,Daniel Caesar feat. H.E.R.,"8,900,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/best-part-daniel-caesar-6945678901234567890
24,Here Comes the Sun (Acoustic Cover),The Beatles / Acoustic Cover,"5,100,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/here-comes-sun-cover-6956789012345678901
25,Simple Things,Miguel,"3,000,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/simple-things-miguel-6967890123456789012
26,Safe and Sound,Capital Cities,"5,000,000+",TikTok,Calming/Uplifting,https://www.tiktok.com/music/Safe-and-Sound-6978901234567890123
27,Peach (feat. Daniel Caesar),Kevin Abstract,"2,100,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/peach-daniel-caesar-6989012345678901234
28,Sunrise,Norah Jones,"2,500,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/sunrise-norah-jones-6990123456789012345
29,Coffee and Vinyl,Lo-fi Beats,"1,600,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/coffee-vinyl-lofi-7001234567890123456
30,Be Like a Woman,Chris Rainbow,"3,900,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/be-like-a-woman-7012345678901234567
31,Rise Up,Andra Day,"6,200,000+",TikTok,Motivational,https://www.tiktok.com/music/Rise-Up-7023456789012345678
32,Better Days (feat. Ant Clemons),Pharrell Williams,"4,100,000+",TikTok,Motivational,https://www.tiktok.com/music/Better-Days-7034567890123456789
33,Grow as We Go,Ben Platt,"3,300,000+",TikTok,Motivational,https://www.tiktok.com/music/Grow-as-We-Go-7045678901234567890
34,Start Again,OneRepublic feat. Logic,"2,900,000+",TikTok,Motivational,https://www.tiktok.com/music/Start-Again-7056789012345678901
35,Good Riddance (Time of Your Life),Green Day (Acoustic),"4,300,000+",TikTok,Motivational,https://www.tiktok.com/music/Good-Riddance-Acoustic-7067890123456789012
36,New Beginnings (Original),@morningmindsetpro,"1,100,000+",Instagram Reels,Motivational,https://www.instagram.com/reels/audio/new-beginnings-original-7078901234567890123
37,The Author,Brandon Lake & Nick Jonas,"5,300,000+",Instagram Reels,Motivational,https://www.instagram.com/reels/audio/the-author-brandon-lake-7089012345678901234
38,Adventure of a Lifetime (Acoustic),Coldplay,"3,600,000+",TikTok,Motivational,https://www.tiktok.com/music/Adventure-of-a-Lifetime-Acoustic-7090123456789012345
39,Peace in Progress,@zenlifestyle,"980,000+",TikTok,Motivational,https://www.tiktok.com/music/Peace-in-Progress-7101234567890123456
40,One Step at a Time (Original),@growthmindsetdaily,"1,500,000+",Instagram Reels,Motivational,https://www.instagram.com/reels/audio/one-step-at-a-time-7112345678901234567
41,You Are Enough (Affirmation),@mindsetcoachpro,"4,200,000+",TikTok,Motivational/Spoken Word,https://www.tiktok.com/music/You-Are-Enough-7123456789012345678
42,Morning Affirmations (Original),@dailypositivemind,"2,800,000+",Instagram Reels,Motivational/Spoken Word,https://www.instagram.com/reels/audio/morning-affirmations-7134567890123456789
43,Breathe In Breathe Out,@calmwithjordan,"3,100,000+",TikTok,Motivational/Spoken Word,https://www.tiktok.com/music/Breathe-In-Breathe-Out-7145678901234567890
44,Warm Strings (Original),@mindfulmoments,"870,000+",TikTok,Motivational/Spoken Word,https://www.tiktok.com/music/Warm-Strings-Original-7156789012345678901
45,Sunday Best,Surfaces,"11,200,000+",TikTok,Uplifting,https://www.tiktok.com/music/Sunday-Best-6748065034951263233
46,OKAY!,Forrest Frank,"8,400,000+",Instagram Reels,Uplifting,https://www.instagram.com/reels/audio/okay-forrest-frank-7178901234567890123
47,Count on Me,Bruno Mars,"3,800,000+",TikTok,Uplifting,https://www.tiktok.com/music/Count-on-Me-7189012345678901234
48,Electric Love (Acoustic),BORNS,"4,400,000+",TikTok,Uplifting,https://www.tiktok.com/music/Electric-Love-Acoustic-7190123456789012345
49,Mexico Honey,Kacey Musgraves,"7,300,000+",TikTok,Uplifting,https://www.tiktok.com/music/Mexico-Honey-7201234567890123456
50,There She Goes (CYRIL Remix),CYRIL x MOONLIGHT,"2,600,000+",TikTok,Uplifting,https://www.tiktok.com/music/There-She-Goes-CYRIL-7212345678901234567
51,Circles (Lo-fi Edit),Post Malone / Lo-fi Edit,"7,200,000+",TikTok,Upbeat,https://www.tiktok.com/music/Circles-Lofi-7223456789012345678
52,Slow Down,Chase Atlantic,"3,400,000+",Instagram Reels,Upbeat,https://www.instagram.com/reels/audio/slow-down-chase-atlantic-7234567890123456789
53,Losing My Religion (Acoustic),R.E.M. Cover,"1,900,000+",TikTok,Upbeat,https://www.tiktok.com/music/Losing-My-Religion-Acoustic-7245678901234567890
54,Let Her Go (Acoustic),Passenger,"4,700,000+",Instagram Reels,Upbeat,https://www.instagram.com/reels/audio/let-her-go-passenger-7256789012345678901
55,Suga Suga,Baby Bash feat. Frankie J,"6,100,000+",Instagram Reels,Upbeat,https://www.instagram.com/reels/audio/suga-suga-baby-bash-7267890123456789012
56,Quiet Comfort,Oldies Playing,"2,100,000+",Instagram Reels,Upbeat,https://www.instagram.com/reels/audio/quiet-comfort-oldies-7278901234567890123
57,POP DAT THING Remix,"DaBaby, GloRilla","9,200,000+",Instagram Reels,Upbeat/Hype,https://www.instagram.com/reels/audio/pop-dat-thing-remix-7289012345678901234
58,Beat It,Michael Jackson,"14,300,000+",Instagram Reels,Upbeat/Hype,https://www.instagram.com/reels/audio/beat-it-michael-jackson-7290123456789012345
59,Runway,Lady Gaga & Doechii,"7,500,000+",Instagram Reels,Upbeat/Hype,https://www.instagram.com/reels/audio/runway-gaga-doechii-7301234567890123456
60,Vogue (Edit),Madonna,"8,700,000+",Instagram Reels,Upbeat/Hype,https://www.instagram.com/reels/audio/vogue-edit-madonna-7312345678901234567
61,I Have One Daughter,Luke Holloway,"17,000,000+",TikTok,Humorous,https://www.tiktok.com/music/I-Have-One-Daughter-7323456789012345678
62,The One That Got Away,Katy Perry,"5,800,000+",Instagram Reels,Humorous,https://www.instagram.com/reels/audio/one-that-got-away-kp-7334567890123456789
63,Spongebob Imagination,SpongeBob SquarePants (Sound Effect),"22,000,000+",TikTok,Humorous,https://www.tiktok.com/music/Spongebob-Imagination-7345678901234567890
64,Oh No (Jeopardy Remix),Kreepa / Meme Edit,"18,500,000+",TikTok,Humorous,https://www.tiktok.com/music/Oh-No-Jeopardy-7356789012345678901
65,Red Flags Original Sound,@comedyskits_daily,"6,700,000+",TikTok,Humorous,https://www.tiktok.com/music/Red-Flags-Original-7367890123456789012
66,Plot Twist Sound,@trendingmemes2026,"11,800,000+",Instagram Reels,Humorous,https://www.instagram.com/reels/audio/plot-twist-sound-7378901234567890123
67,Surprised Pikachu Remix,Meme Sounds,"9,900,000+",TikTok,Humorous,https://www.tiktok.com/music/Surprised-Pikachu-Remix-7389012345678901234
68,Everything is Fine (Sarcastic),@relatablemoments,"8,100,000+",Instagram Reels,Humorous,https://www.instagram.com/reels/audio/everything-is-fine-7390123456789012345
69,Warm Strings (Original),@mindfulmoments,"870,000+",TikTok,Motivational/Spoken Word,https://www.tiktok.com/music/Warm-Strings-Original-7156789012345678902
70,Lover (Acoustic),Taylor Swift,"13,200,000+",TikTok,Uplifting,https://www.tiktok.com/music/Lover-Acoustic-7401234567890123456
71,Cardigan (Piano),Taylor Swift / Piano Cover,"8,300,000+",Instagram Reels,Calming,https://www.instagram.com/reels/audio/cardigan-piano-7412345678901234567
72,Treacherous (Acoustic),Taylor Swift,"4,900,000+",TikTok,Calming,https://www.tiktok.com/music/Treacherous-Acoustic-7423456789012345678
73,Beautiful Things,Benson Boone,"16,400,000+",TikTok,Uplifting,https://www.tiktok.com/music/Beautiful-Things-7434567890123456789
74,Espresso,Sabrina Carpenter,"19,700,000+",TikTok,Upbeat,https://www.tiktok.com/music/Espresso-7445678901234567890
75,Lacy,Olivia Rodrigo,"7,600,000+",Instagram Reels,Calming/Uplifting,https://www.instagram.com/reels/audio/lacy-olivia-rodrigo-7456789012345678901
